Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,NA_Sales_Million,EU_Sales,EU_Sales_Million,JP_Sales,JP_Sales_Million,Other_Sales,Other_Sales_Million,Global_Sales,Global_Sales_Million
174,Final Fantasy IX,PS,2000.0,Role-Playing,SquareSoft,1.62,1.62M,0.77,0.77M,2.78,2.78M,0.14,0.14M,5.3,5.30M
175,Final Fantasy X-2,PS2,2003.0,Role-Playing,Electronic Arts,1.92,1.92M,1.08,1.08M,2.11,2.11M,0.17,0.17M,5.29,5.29M
176,Donkey Kong 64,N64,1999.0,Platform,Nintendo,3.33,3.33M,0.79,0.79M,1.09,1.09M,0.06,0.06M,5.27,5.27M
177,Assassin's Creed II,X360,2009.0,Action,Ubisoft,3.1,3.10M,1.56,1.56M,0.08,0.08M,0.51,0.51M,5.27,5.27M
178,Professor Layton and the Curious Village,DS,2007.0,Puzzle,Nintendo,1.22,1.22M,2.48,2.48M,1.03,1.03M,0.52,0.52M,5.26,5.26M
179,Tomb Raider II,PS,1997.0,Action,Eidos Interactive,2.3,2.30M,2.46,2.46M,0.2,0.20M,0.28,0.28M,5.24,5.24M
180,Madden NFL 2004,PS2,,Sports,Electronic Arts,4.26,4.26M,0.26,0.26M,0.01,0.01M,0.71,0.71M,5.23,5.23M
181,Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,Square Enix,0.65,0.65M,0.75,0.75M,3.61,3.61M,0.2,0.20M,5.21,5.21M
182,Diablo III,PC,2012.0,Role-Playing,Activision,2.43,2.43M,2.15,2.15M,0.0,0.00M,0.62,0.62M,5.2,5.20M
183,Super Mario Bros. 3,GBA,2003.0,Platform,Nintendo,2.93,2.93M,1.25,1.25M,0.83,0.83M,0.2,0.20M,5.2,5.20M
184,New Super Mario Bros. U,WiiU,2012.0,Platform,Nintendo,2.32,2.32M,1.3,1.30M,1.27,1.27M,0.31,0.31M,5.19,5.19M
185,Super Mario Land 3: Wario Land,GB,1994.0,Platform,Nintendo,2.49,2.49M,0.98,0.98M,1.57,1.57M,0.15,0.15M,5.19,5.19M
186,FIFA Soccer 13,X360,2012.0,Action,Electronic Arts,1.08,1.08M,3.48,3.48M,0.03,0.03M,0.58,0.58M,5.18,5.18M
187,The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,Nintendo,1.9,1.90M,1.83,1.83M,0.95,0.95M,0.49,0.49M,5.17,5.17M
188,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995.0,Platform,Nintendo,2.1,2.10M,0.74,0.74M,2.2,2.20M,0.11,0.11M,5.15,5.15M
189,Tomodachi Life,3DS,2013.0,Simulation,Nintendo,0.96,0.96M,2.02,2.02M,1.89,1.89M,0.28,0.28M,5.15,5.15M
190,Mario & Sonic at the Olympic Games,DS,2008.0,Sports,Sega,1.64,1.64M,2.48,2.48M,0.44,0.44M,0.58,0.58M,5.14,5.14M
191,Medal of Honor: Rising Sun,PS2,2003.0,Shooter,Electronic Arts,1.98,1.98M,2.23,2.23M,0.13,0.13M,0.8,0.80M,5.13,5.13M
192,Kirby's Dream Land,GB,1992.0,Platform,Nintendo,2.71,2.71M,0.61,0.61M,1.7,1.70M,0.11,0.11M,5.13,5.13M
193,Fable III,X360,2010.0,Role-Playing,Microsoft Game Studios,3.59,3.59M,1.11,1.11M,0.05,0.05M,0.38,0.38M,5.13,5.13M
194,Call of Duty: Advanced Warfare,XOne,2014.0,Shooter,Activision,3.21,3.21M,1.53,1.53M,0.01,0.01M,0.38,0.38M,5.13,5.13M
195,Microsoft Flight Simulator,PC,1996.0,Simulation,Microsoft Game Studios,3.22,3.22M,1.69,1.69M,0.0,0.00M,0.2,0.20M,5.12,5.12M
196,Guitar Hero II,PS2,2006.0,Misc,RedOctane,3.81,3.81M,0.63,0.63M,0.0,0.00M,0.68,0.68M,5.12,5.12M
197,Resident Evil 5,PS3,2009.0,Action,Capcom,1.96,1.96M,1.43,1.43M,1.08,1.08M,0.65,0.65M,5.11,5.11M
198,Grand Theft Auto V,XOne,2014.0,Action,Take-Two Interactive,2.66,2.66M,2.01,2.01M,0.0,0.00M,0.41,0.41M,5.08,5.08M
199,Grand Theft Auto: Vice City Stories,PSP,2006.0,Action,Take-Two Interactive,1.7,1.70M,2.02,2.02M,0.16,0.16M,1.21,1.21M,5.08,5.08M
200,FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,0.6,0.60M,3.29,3.29M,0.06,0.06M,1.13,1.13M,5.08,5.08M
201,Super Mario Bros.,GB,1999.0,Platform,Nintendo,3.4,3.40M,1.3,1.30M,0.15,0.15M,0.22,0.22M,5.07,5.07M
202,Resident Evil,PS,1996.0,Action,Virgin Interactive,2.05,2.05M,1.16,1.16M,1.11,1.11M,0.73,0.73M,5.05,5.05M
203,Tony Hawk's Pro Skater,PS,1999.0,Sports,Activision,3.42,3.42M,1.38,1.38M,0.02,0.02M,0.2,0.20M,5.02,5.02M
204,Super Smash Bros. for Wii U and 3DS,WiiU,2014.0,Fighting,Nintendo,2.59,2.59M,1.06,1.06M,0.8,0.80M,0.57,0.57M,5.02,5.02M
205,Warzone 2100,PS,1999.0,Strategy,Eidos Interactive,2.79,2.79M,1.89,1.89M,0.0,0.00M,0.33,0.33M,5.01,5.01M
206,Spyro the Dragon,PS,1998.0,Platform,Sony Computer Entertainment,3.36,3.36M,1.36,1.36M,0.07,0.07M,0.21,0.21M,5.0,5.00M
207,Link's Crossbow Training,Wii,2007.0,Shooter,Nintendo,3.06,3.06M,1.18,1.18M,0.29,0.29M,0.46,0.46M,5.0,5.00M
208,Guitar Hero III: Legends of Rock,PS2,2007.0,Misc,Activision,3.49,3.49M,0.01,0.01M,0.01,0.01M,1.48,1.48M,4.98,4.98M
209,Fallout 3,X360,2008.0,Role-Playing,Bethesda Softworks,3.39,3.39M,1.03,1.03M,0.09,0.09M,0.44,0.44M,4.96,4.96M
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007.0,Role-Playing,Nintendo,1.85,1.85M,1.2,1.20M,1.54,1.54M,0.37,0.37M,4.96,4.96M
211,Uncharted: Drake's Fortune,PS3,2007.0,Action,Sony Computer Entertainment,2.31,2.31M,1.73,1.73M,0.12,0.12M,0.78,0.78M,4.94,4.94M
212,Madden NFL 06,PS2,2005.0,Sports,Electronic Arts,3.98,3.98M,0.26,0.26M,0.01,0.01M,0.66,0.66M,4.91,4.91M
213,LEGO Star Wars: The Complete Saga,DS,2007.0,Action,LucasArts,2.89,2.89M,1.54,1.54M,0.0,0.00M,0.46,0.46M,4.9,4.90M
214,Diddy Kong Racing,N64,1997.0,Racing,Nintendo,2.91,2.91M,0.99,0.99M,0.89,0.89M,0.1,0.10M,4.88,4.88M
215,Monster Hunter Freedom 3,PSP,2010.0,Role-Playing,Capcom,0.0,0.00M,0.0,0.00M,4.87,4.87M,0.0,0.00M,4.87,4.87M
216,Dr. Mario,NES,1990.0,Puzzle,Nintendo,2.62,2.62M,0.6,0.60M,1.52,1.52M,0.1,0.10M,4.85,4.85M
217,God of War III,PS3,2010.0,Action,Sony Computer Entertainment,2.74,2.74M,1.36,1.36M,0.12,0.12M,0.63,0.63M,4.84,4.84M
218,StarCraft II: Wings of Liberty,PC,2010.0,Strategy,Activision,2.56,2.56M,1.68,1.68M,0.0,0.00M,0.59,0.59M,4.83,4.83M
219,Assassin's Creed,PS3,2007.0,Adventure,Ubisoft,1.91,1.91M,2.0,2.00M,0.09,0.09M,0.83,0.83M,4.83,4.83M
220,FIFA 15,PS3,2014.0,Sports,Electronic Arts,0.57,0.57M,3.14,3.14M,0.04,0.04M,1.07,1.07M,4.82,4.82M
221,Crash Team Racing,PS,1999.0,Racing,Sony Computer Entertainment,2.57,2.57M,1.57,1.57M,0.44,0.44M,0.21,0.21M,4.79,4.79M
222,FIFA 17,PS4,2016.0,Sports,Electronic Arts,0.28,0.28M,3.75,3.75M,0.06,0.06M,0.69,0.69M,4.77,4.77M
223,Batman: Arkham City,X360,2011.0,Action,Warner Bros. Interactive Entertainment,2.99,2.99M,1.31,1.31M,0.04,0.04M,0.41,0.41M,4.76,4.76M
224,Driver 2,PS,2000.0,Action,Atari,2.36,2.36M,2.1,2.10M,0.02,0.02M,0.25,0.25M,4.73,4.73M
225,The Simpsons: Hit & Run,PS2,2003.0,Racing,Vivendi Games,1.73,1.73M,2.19,2.19M,0.0,0.00M,0.79,0.79M,4.7,4.70M
226,Tony Hawk's Pro Skater 2,PS,2000.0,Sports,Activision,3.05,3.05M,1.41,1.41M,0.02,0.02M,0.2,0.20M,4.68,4.68M
227,Animal Crossing: City Folk,Wii,2008.0,Simulation,Nintendo,1.87,1.87M,1.12,1.12M,1.32,1.32M,0.37,0.37M,4.68,4.68M
228,The Lord of the Rings: The Two Towers,PS2,2002.0,Action,Electronic Arts,1.94,1.94M,1.95,1.95M,0.08,0.08M,0.7,0.70M,4.67,4.67M
229,Forza Motorsport 4,X360,2011.0,Racing,Microsoft Game Studios,2.08,2.08M,2.04,2.04M,0.06,0.06M,0.47,0.47M,4.64,4.64M
230,Tomb Raider,PS,1996.0,Action,Eidos Interactive,2.29,2.29M,1.97,1.97M,0.13,0.13M,0.24,0.24M,4.63,4.63M
231,Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,Activision,3.06,3.06M,1.12,1.12M,0.0,0.00M,0.44,0.44M,4.62,4.62M
232,The Legend of Zelda: A Link to the Past,SNES,1991.0,Action,Nintendo,2.42,2.42M,0.91,0.91M,1.15,1.15M,0.13,0.13M,4.61,4.61M
233,The Legend of Zelda: The Wind Waker,GC,2002.0,Action,Nintendo,2.6,2.60M,0.99,0.99M,0.89,0.89M,0.13,0.13M,4.6,4.60M
234,Mario & Sonic at the Olympic Winter Games,Wii,2009.0,Sports,Sega,1.89,1.89M,1.99,1.99M,0.22,0.22M,0.48,0.48M,4.58,4.58M
235,Luigi's Mansion: Dark Moon,3DS,2013.0,Action,Nintendo,1.78,1.78M,1.39,1.39M,1.1,1.10M,0.3,0.30M,4.58,4.58M
236,Splatoon,WiiU,2015.0,Shooter,Nintendo,1.55,1.55M,1.15,1.15M,1.44,1.44M,0.43,0.43M,4.57,4.57M
237,The Last of Us,PS4,2014.0,Action,Sony Computer Entertainment,1.78,1.78M,1.87,1.87M,0.07,0.07M,0.82,0.82M,4.55,4.55M
238,Guitar Hero III: Legends of Rock,X360,2007.0,Misc,Activision,3.19,3.19M,0.92,0.92M,0.01,0.01M,0.42,0.42M,4.53,4.53M
239,Madden NFL 2005,PS2,2004.0,Sports,Electronic Arts,4.18,4.18M,0.26,0.26M,0.01,0.01M,0.08,0.08M,4.53,4.53M
240,Pitfall!,2600,1981.0,Platform,Activision,4.21,4.21M,0.24,0.24M,0.0,0.00M,0.05,0.05M,4.5,4.50M
241,Madden NFL 07,PS2,2006.0,Sports,Electronic Arts,3.63,3.63M,0.24,0.24M,0.01,0.01M,0.61,0.61M,4.49,4.49M
242,Spider-Man: The Movie,PS2,2002.0,Action,Activision,2.71,2.71M,1.51,1.51M,0.03,0.03M,0.23,0.23M,4.48,4.48M
243,Dragon Quest VII: Warriors of Eden,PS,2000.0,Role-Playing,Enix Corporation,0.2,0.20M,0.14,0.14M,4.1,4.10M,0.02,0.02M,4.47,4.47M
244,Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,Sony Computer Entertainment,1.96,1.96M,1.69,1.69M,0.08,0.08M,0.74,0.74M,4.47,4.47M
245,Call of Duty: Advanced Warfare,PS3,2014.0,Shooter,Activision,1.54,1.54M,1.94,1.94M,0.19,0.19M,0.77,0.77M,4.45,4.45M
246,God of War,PS2,2005.0,Action,Sony Computer Entertainment,2.71,2.71M,1.29,1.29M,0.02,0.02M,0.43,0.43M,4.45,4.45M
247,Nintendo Land,WiiU,2012.0,Misc,Nintendo,2.55,2.55M,1.11,1.11M,0.46,0.46M,0.33,0.33M,4.44,4.44M
248,Michael Jackson: The Experience,Wii,2010.0,Misc,Ubisoft,2.67,2.67M,1.35,1.35M,0.01,0.01M,0.39,0.39M,4.42,4.42M
249,Tony Hawk's Pro Skater 3,PS2,2001.0,Sports,Activision,2.66,2.66M,1.29,1.29M,0.01,0.01M,0.46,0.46M,4.41,4.41M
250,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006.0,Sports,Konami Digital Entertainment,0.1,0.10M,2.39,2.39M,1.05,1.05M,0.86,0.86M,4.39,4.39M
251,The Elder Scrolls IV: Oblivion,X360,2006.0,Role-Playing,Take-Two Interactive,2.82,2.82M,1.05,1.05M,0.13,0.13M,0.4,0.40M,4.39,4.39M
252,Zelda II: The Adventure of Link,NES,1987.0,Adventure,Nintendo,2.19,2.19M,0.5,0.50M,1.61,1.61M,0.08,0.08M,4.38,4.38M
253,Need for Speed: Most Wanted,PS2,2005.0,Racing,Electronic Arts,2.03,2.03M,1.79,1.79M,0.08,0.08M,0.47,0.47M,4.37,4.37M
254,Resistance: Fall of Man,PS3,2006.0,Shooter,Sony Computer Entertainment,1.73,1.73M,1.73,1.73M,0.14,0.14M,0.75,0.75M,4.35,4.35M
255,Sonic the Hedgehog,GEN,1991.0,Platform,Sega,3.03,3.03M,0.91,0.91M,0.26,0.26M,0.13,0.13M,4.34,4.34M
256,Kingdom Hearts II,PS2,2005.0,Role-Playing,Square Enix,2.2,2.20M,0.58,0.58M,1.38,1.38M,0.17,0.17M,4.33,4.33M
257,FIFA 14,X360,2013.0,Sports,Electronic Arts,0.92,0.92M,2.93,2.93M,0.01,0.01M,0.46,0.46M,4.31,4.31M
258,Call of Duty: Advanced Warfare,X360,2014.0,Shooter,Activision,2.75,2.75M,1.18,1.18M,0.0,0.00M,0.37,0.37M,4.31,4.31M
259,Asteroids,2600,1980.0,Shooter,Atari,4.0,4.00M,0.26,0.26M,0.0,0.00M,0.05,0.05M,4.31,4.31M
260,Fable II,X360,2008.0,Role-Playing,Microsoft Game Studios,2.51,2.51M,1.27,1.27M,0.11,0.11M,0.41,0.41M,4.31,4.31M
261,Halo 5: Guardians,XOne,2015.0,Shooter,Microsoft Game Studios,2.64,2.64M,1.2,1.20M,0.03,0.03M,0.39,0.39M,4.26,4.26M
262,Super Mario 3D World,WiiU,2013.0,Platform,Nintendo,2.11,2.11M,1.11,1.11M,0.72,0.72M,0.3,0.30M,4.25,4.25M
263,Batman: Arkham Asylum,PS3,2009.0,Action,Eidos Interactive,2.23,2.23M,1.34,1.34M,0.07,0.07M,0.61,0.61M,4.25,4.25M
264,Assassin's Creed: Revelations,PS3,2011.0,Action,Ubisoft,1.41,1.41M,2.02,2.02M,0.1,0.10M,0.72,0.72M,4.24,4.24M
265,Namco Museum,GBA,2001.0,Misc,Namco Bandai Games,3.0,3.00M,1.11,1.11M,0.05,0.05M,0.07,0.07M,4.24,4.24M
266,Metal Gear Solid 3: Snake Eater,PS2,2004.0,Action,Konami Digital Entertainment,1.46,1.46M,0.0,0.00M,0.83,0.83M,1.93,1.93M,4.23,4.23M
267,Daxter,PSP,2006.0,Platform,Sony Computer Entertainment,2.45,2.45M,1.02,1.02M,0.0,0.00M,0.75,0.75M,4.22,4.22M
268,Warcraft II: Tides of Darkness,PC,1995.0,Strategy,Activision,1.7,1.70M,2.27,2.27M,0.0,0.00M,0.23,0.23M,4.21,4.21M
269,The Legend of Zelda: Ocarina of Time,3DS,2011.0,Action,Nintendo,2.03,2.03M,1.27,1.27M,0.62,0.62M,0.3,0.30M,4.21,4.21M
270,FIFA Soccer 06,PS2,2005.0,Sports,Electronic Arts,0.78,0.78M,2.55,2.55M,0.04,0.04M,0.84,0.84M,4.21,4.21M
271,EyeToy Play,PS2,2003.0,Misc,Sony Computer Entertainment,0.88,0.88M,2.3,2.30M,0.2,0.20M,0.83,0.83M,4.2,4.20M
272,Uncharted 4: A Thief's End,PS4,2016.0,Shooter,Sony Computer Entertainment,1.3,1.30M,2.07,2.07M,0.18,0.18M,0.65,0.65M,4.2,4.20M
273,Gran Turismo 5 Prologue,PS3,2007.0,Racing,Sony Computer Entertainment,1.28,1.28M,1.83,1.83M,0.57,0.57M,0.53,0.53M,4.2,4.20M
274,Assassin's Creed: Revelations,X360,2011.0,Action,Ubisoft,2.25,2.25M,1.47,1.47M,0.04,0.04M,0.43,0.43M,4.19,4.19M
275,Street Fighter IV,PS3,2009.0,Fighting,Capcom,2.02,2.02M,1.06,1.06M,0.58,0.58M,0.53,0.53M,4.19,4.19M
276,FIFA 12,X360,2011.0,Sports,Electronic Arts,0.84,0.84M,2.79,2.79M,0.02,0.02M,0.53,0.53M,4.19,4.19M
277,Teenage Mutant Ninja Turtles,NES,1989.0,Action,Palcom,3.38,3.38M,0.44,0.44M,0.31,0.31M,0.04,0.04M,4.17,4.17M
278,Excitebike,NES,1984.0,Racing,Nintendo,2.04,2.04M,0.48,0.48M,1.57,1.57M,0.07,0.07M,4.16,4.16M
279,Frogger,PS,1997.0,Action,Hasbro Interactive,3.79,3.79M,0.27,0.27M,0.0,0.00M,0.11,0.11M,4.16,4.16M
280,Madden NFL 2003,PS2,2002.0,Sports,Electronic Arts,3.36,3.36M,0.21,0.21M,0.01,0.01M,0.56,0.56M,4.14,4.14M
281,Watch Dogs,PS4,2014.0,Action,Ubisoft,1.4,1.40M,1.86,1.86M,0.11,0.11M,0.77,0.77M,4.14,4.14M
282,Half-Life,PC,1997.0,Shooter,Vivendi Games,4.03,4.03M,0.0,0.00M,0.09,0.09M,0.0,0.00M,4.12,4.12M
283,Super Mario World 2: Yoshi's Island,SNES,1995.0,Platform,Nintendo,1.65,1.65M,0.61,0.61M,1.76,1.76M,0.09,0.09M,4.12,4.12M
284,FIFA Soccer 07,PS2,2006.0,Sports,Electronic Arts,0.71,0.71M,2.48,2.48M,0.03,0.03M,0.89,0.89M,4.11,4.11M
285,The Legend of Zelda: Skyward Sword,Wii,2011.0,Action,Nintendo,2.14,2.14M,1.2,1.20M,0.37,0.37M,0.4,0.40M,4.1,4.10M
286,Street Fighter II Turbo,SNES,1992.0,Fighting,Capcom,1.42,1.42M,0.51,0.51M,2.1,2.10M,0.07,0.07M,4.1,4.10M
287,Carnival Games,Wii,2007.0,Misc,Take-Two Interactive,2.13,2.13M,1.5,1.50M,0.05,0.05M,0.42,0.42M,4.1,4.10M
288,Fallout 4,XOne,2015.0,Role-Playing,Bethesda Softworks,2.45,2.45M,1.26,1.26M,0.01,0.01M,0.37,0.37M,4.09,4.09M
289,World of Warcraft: The Burning Crusade,PC,2007.0,Role-Playing,Activision,2.57,2.57M,1.52,1.52M,0.0,0.00M,0.0,0.00M,4.09,4.09M
290,Fallout: New Vegas,X360,2010.0,Role-Playing,Bethesda Softworks,2.65,2.65M,1.06,1.06M,0.04,0.04M,0.33,0.33M,4.08,4.08M
291,God of War II,PS2,2007.0,Action,Sony Computer Entertainment,2.32,2.32M,0.04,0.04M,0.04,0.04M,1.67,1.67M,4.07,4.07M
292,Forza Motorsport 2,X360,2007.0,Racing,Microsoft Game Studios,2.35,2.35M,1.28,1.28M,0.03,0.03M,0.41,0.41M,4.06,4.06M
293,World Soccer Winning Eleven 9,PS2,2005.0,Sports,Konami Digital Entertainment,0.12,0.12M,2.26,2.26M,0.9,0.90M,0.77,0.77M,4.06,4.06M
294,Namco Museum Vol.3,PS,1996.0,Misc,Sony Computer Entertainment,2.28,2.28M,1.55,1.55M,0.16,0.16M,0.06,0.06M,4.05,4.05M
295,Tekken Tag Tournament,PS2,2000.0,Fighting,Namco Bandai Games,1.68,1.68M,1.51,1.51M,0.51,0.51M,0.35,0.35M,4.05,4.05M
296,Far Cry 4,PS4,2014.0,Shooter,Ubisoft,1.12,1.12M,2.12,2.12M,0.1,0.10M,0.69,0.69M,4.03,4.03M
297,Star Fox 64,N64,1997.0,Shooter,Nintendo,2.78,2.78M,0.58,0.58M,0.64,0.64M,0.04,0.04M,4.03,4.03M
298,Minecraft,PS4,2014.0,Misc,Sony Computer Entertainment Europe,1.38,1.38M,1.87,1.87M,0.12,0.12M,0.65,0.65M,4.02,4.02M
299,Golf,NES,1984.0,Sports,Nintendo,1.22,1.22M,0.28,0.28M,2.46,2.46M,0.04,0.04M,4.01,4.01M
300,Fallout 3,PS3,2008.0,Role-Playing,Bethesda Softworks,2.15,2.15M,1.2,1.20M,0.07,0.07M,0.59,0.59M,4.01,4.01M
301,Professor Layton and the Diabolical Box,DS,2007.0,Puzzle,Nintendo,0.92,0.92M,1.78,1.78M,0.92,0.92M,0.37,0.37M,4.0,4.00M
302,Left 4 Dead 2,X360,2009.0,Shooter,Electronic Arts,2.67,2.67M,0.89,0.89M,0.05,0.05M,0.37,0.37M,3.99,3.99M
303,Namco Museum: 50th Anniversary,PS2,2005.0,Misc,Namco Bandai Games,2.08,2.08M,1.35,1.35M,0.0,0.00M,0.54,0.54M,3.98,3.98M
304,EA Sports Active,Wii,2009.0,Sports,Electronic Arts,2.1,2.10M,1.36,1.36M,0.06,0.06M,0.4,0.40M,3.92,3.92M
305,Assassin's Creed: Unity,PS4,2014.0,Action,Ubisoft,1.18,1.18M,1.96,1.96M,0.08,0.08M,0.7,0.70M,3.92,3.92M
306,Donkey Kong Land,GB,1994.0,Platform,Nintendo,1.97,1.97M,0.76,0.76M,1.07,1.07M,0.11,0.11M,3.91,3.91M
307,Tony Hawk's Underground,PS2,2003.0,Sports,Activision,2.29,2.29M,1.17,1.17M,0.01,0.01M,0.42,0.42M,3.9,3.90M
308,Assassin's Creed IV: Black Flag,PS3,2013.0,Action,Ubisoft,1.33,1.33M,1.71,1.71M,0.13,0.13M,0.73,0.73M,3.89,3.89M
309,Monster Hunter 4 Ultimate,3DS,2014.0,Role-Playing,Nintendo,0.67,0.67M,0.49,0.49M,2.62,2.62M,0.11,0.11M,3.89,3.89M
310,MotorStorm,PS3,2006.0,Racing,Sony Computer Entertainment,1.53,1.53M,1.61,1.61M,0.06,0.06M,0.67,0.67M,3.88,3.88M
311,The Elder Scrolls V: Skyrim,PC,2011.0,Role-Playing,Bethesda Softworks,1.15,1.15M,2.09,2.09M,0.0,0.00M,0.64,0.64M,3.88,3.88M
312,Tekken 5,PS2,2005.0,Fighting,Namco Bandai Games,0.93,0.93M,1.94,1.94M,0.31,0.31M,0.7,0.70M,3.87,3.87M
313,Dragon Warrior III,NES,1988.0,Role-Playing,Enix Corporation,0.1,0.10M,0.0,0.00M,3.77,3.77M,0.0,0.00M,3.87,3.87M
314,Sports Champions,PS3,2010.0,Sports,Sony Computer Entertainment,2.12,2.12M,1.14,1.14M,0.1,0.10M,0.51,0.51M,3.87,3.87M
315,NBA 2K16,PS4,2015.0,Sports,Take-Two Interactive,2.48,2.48M,0.65,0.65M,0.03,0.03M,0.69,0.69M,3.85,3.85M
316,World Soccer Winning Eleven 8 International,PS2,2004.0,Sports,Konami Digital Entertainment,0.16,0.16M,1.89,1.89M,1.12,1.12M,0.68,0.68M,3.85,3.85M
317,Flash Focus: Vision Training in Minutes a Day,DS,2007.0,Misc,Nintendo,0.87,0.87M,1.57,1.57M,1.05,1.05M,0.35,0.35M,3.84,3.84M
318,Namco Museum Vol.1,PS,1995.0,Misc,Sony Computer Entertainment,2.12,2.12M,1.44,1.44M,0.22,0.22M,0.06,0.06M,3.84,3.84M
319,The Legend of Zelda: Link's Awakening,GB,1992.0,Action,Nintendo,2.21,2.21M,0.96,0.96M,0.54,0.54M,0.13,0.13M,3.83,3.83M
320,Mario & Luigi: Bowser's Inside Story,DS,2009.0,Role-Playing,Nintendo,2.26,2.26M,0.48,0.48M,0.81,0.81M,0.27,0.27M,3.83,3.83M
321,Big Brain Academy: Wii Degree,Wii,2007.0,Misc,Nintendo,1.06,1.06M,1.93,1.93M,0.41,0.41M,0.43,0.43M,3.82,3.82M
322,Nintendogs + cats,3DS,2011.0,Simulation,Nintendo,1.44,1.44M,1.37,1.37M,0.73,0.73M,0.27,0.27M,3.81,3.81M
323,Batman: Arkham Knight,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,1.49,1.49M,1.58,1.58M,0.1,0.10M,0.61,0.61M,3.79,3.79M
324,Mario & Sonic at the London 2012 Olympic Games,Wii,2011.0,Sports,Sega,1.14,1.14M,1.91,1.91M,0.27,0.27M,0.46,0.46M,3.78,3.78M
325,LEGO Indiana Jones: The Original Adventures,X360,2008.0,Action,Activision,2.4,2.40M,1.03,1.03M,0.0,0.00M,0.36,0.36M,3.78,3.78M
326,Resident Evil Director's Cut,PS,1996.0,Action,Virgin Interactive,1.82,1.82M,1.24,1.24M,0.47,0.47M,0.25,0.25M,3.77,3.77M
327,Ratchet & Clank: Size Matters,PSP,2007.0,Platform,Sony Computer Entertainment,1.4,1.40M,1.4,1.40M,0.1,0.10M,0.87,0.87M,3.77,3.77M
328,Just Dance 2014,Wii,2013.0,Misc,Ubisoft,1.98,1.98M,1.47,1.47M,0.0,0.00M,0.32,0.32M,3.76,3.76M
329,The Sims: Unleashed,PC,2002.0,Simulation,Electronic Arts,2.03,2.03M,1.56,1.56M,0.0,0.00M,0.17,0.17M,3.76,3.76M
330,Super Paper Mario,Wii,2007.0,Platform,Nintendo,1.98,1.98M,0.88,0.88M,0.59,0.59M,0.32,0.32M,3.76,3.76M
331,Harry Potter and the Sorcerer's Stone,PS,2001.0,Action,Electronic Arts,1.37,1.37M,2.0,2.00M,0.14,0.14M,0.22,0.22M,3.73,3.73M
332,The Witcher 3: Wild Hunt,PS4,2015.0,Role-Playing,Namco Bandai Games,0.96,0.96M,2.0,2.00M,0.21,0.21M,0.56,0.56M,3.73,3.73M
333,Resident Evil 3: Nemesis,PS,1999.0,Action,Eidos Interactive,1.3,1.30M,0.77,0.77M,1.54,1.54M,0.11,0.11M,3.72,3.72M
334,Spyro: Year of the Dragon,PS,2000.0,Platform,Sony Computer Entertainment,1.93,1.93M,1.58,1.58M,0.0,0.00M,0.19,0.19M,3.71,3.71M
335,FIFA Soccer 2005,PS2,2004.0,Sports,Electronic Arts,0.58,0.58M,2.48,2.48M,0.04,0.04M,0.59,0.59M,3.7,3.70M
336,Pokémon Trading Card Game,GB,1998.0,Strategy,Nintendo,1.49,1.49M,0.73,0.73M,1.38,1.38M,0.1,0.10M,3.7,3.70M
337,Battlefield 4,PS3,2013.0,Shooter,Electronic Arts,1.3,1.30M,1.51,1.51M,0.27,0.27M,0.61,0.61M,3.69,3.69M
338,MySims,DS,2007.0,Simulation,Electronic Arts,1.59,1.59M,1.61,1.61M,0.08,0.08M,0.41,0.41M,3.69,3.69M
339,Friend Collection,DS,2009.0,Misc,Nintendo,0.0,0.00M,0.0,0.00M,3.67,3.67M,0.0,0.00M,3.67,3.67M
340,Tony Hawk's Pro Skater 4,PS2,2002.0,Sports,Activision,2.13,2.13M,1.18,1.18M,0.01,0.01M,0.35,0.35M,3.67,3.67M
341,Midnight Club 3: DUB Edition,PSP,2005.0,Racing,Take-Two Interactive,1.65,1.65M,1.22,1.22M,0.0,0.00M,0.79,0.79M,3.66,3.66M
342,Banjo-Kazooie,N64,1998.0,Platform,Nintendo,1.87,1.87M,1.13,1.13M,0.55,0.55M,0.1,0.10M,3.65,3.65M
343,SOCOM: U.S. Navy SEALs,PS2,2002.0,Shooter,Sony Computer Entertainment,2.53,2.53M,0.81,0.81M,0.06,0.06M,0.24,0.24M,3.65,3.65M
344,Guitar Hero: World Tour,Wii,2008.0,Misc,Activision,2.33,2.33M,0.97,0.97M,0.0,0.00M,0.35,0.35M,3.65,3.65M
345,Gran Turismo 6,PS3,2013.0,Racing,Sony Computer Entertainment,0.71,0.71M,1.8,1.80M,0.4,0.40M,0.74,0.74M,3.64,3.64M
346,Jak and Daxter: The Precursor Legacy,PS2,2001.0,Platform,Sony Computer Entertainment,2.08,2.08M,1.09,1.09M,0.15,0.15M,0.33,0.33M,3.64,3.64M
